ticker|returnOnEquity|returnOnAssets|payoutRatio|PE|debtToEquity|growthRate|ggmReturn|div10YReturn|rdpReturn
FE.BK|0.0660|0.0253|0.9407|17.9873|0.0130|0.0039|0.0562|0.0562|0.0248|0.0564
FLOYD.BK|0.0143|0.0042|6.0000|76.8750|0.0520|-0.0713|0.0067|0.0067|-0.0807|0.0012
FMT.BK|0.0236|0.0161|2.1104|25.2830|55.7180|-0.0261|0.0573|0.0573|0.0107|0.0551
FN.BK|0.0039|0.0046|0.5286|196.6667|16.5750|0.0018|0.0045|0.0045|-0.2133|0.0045
FNS.BK|0.0728|0.0480|0.2542|7.0968|43.8950|0.0543|0.0902|0.0902|0.0892|0.0921
FORTH.BK|0.2607|0.0589|1.2000|18.1953|155.9590|-0.0521|0.0138|0.0138|-0.0189|0.0104
FPI.BK|0.0246|0.0382|1.4516|61.9231|66.7280|-0.0111|0.0123|0.0123|-0.1047|0.0120
FPT.BK|0.0947|0.0191|0.3358|9.4918|147.3720|0.0629|0.0983|0.0983|0.0976|0.1005
FSMART.BK|0.4497|0.1071|0.9846|10.5991|93.3510|0.0069|0.0998|0.0998|0.0951|0.1005
FSS.BK|-0.0032|-0.0016|0.0000|99999.0000|19.8330|-0.0032|-0.0032|-0.0032|-0.0098|-0.0032
FTE.BK|0.1078|0.0541|0.8462|13.1746|9.2680|0.0166|0.0808|0.0808|0.0711|0.0819
FVC.BK|-0.5419|-0.0219|0.0000|99999.0000|50.1770|-0.5419|-0.5419|-0.5419|0.0000|-0.5419
GBX.BK|0.0092|0.0042|0.0000|37.6923|3.2650|0.0092|0.0092|0.0092|-0.0906|0.0092
GC.BK|0.2587|0.0745|0.7667|9.9332|126.6450|0.0604|0.1375|0.1375|0.1371|0.1422
GCAP.BK|0.0241|0.0052|2.1765|46.9048|341.3640|-0.0283|0.0181|0.0181|-0.0689|0.0168
GEL.BK|-0.0801|-0.0241|0.0000|99999.0000|43.2450|-0.0801|-0.0801|-0.0801|-0.5952|-0.0801
GENCO.BK|-0.0358|-0.0094|0.0000|99999.0000|8.1380|-0.0358|-0.0358|-0.0358|-0.0001|-0.0358
GFPT.BK|0.0831|0.0253|0.2198|14.0814|27.2320|0.0648|0.0805|0.0805|0.0657|0.0815
GGC.BK|0.0197|0.0109|1.1765|52.4725|23.1910|-0.0035|0.0189|0.0189|-0.0897|0.0189
GIFT.BK|0.0722|0.0469|0.0000|14.6667|10.3740|0.0722|0.0722|0.0722|0.0528|0.0721
GJS.BK|-0.0837|-0.0323|0.0000|99999.0000|8.8380|-0.0837|-0.0837|-0.0837|-0.5967|-0.0837
GL.BK|-0.0338|-0.0144|0.0000|1.0435|101.9390|-0.0338|-0.0338|-0.0338|-0.0338|-0.0338
GLAND.BK|0.1195|0.0250|0.0000|9.1597|45.2200|0.1195|0.1195|0.1195|0.1195|0.1195
GLOBAL.BK|0.1353|0.0526|0.4159|41.7850|90.9820|0.0790|0.0890|0.0890|-0.0196|0.0898
GLOCON.BK|-0.0271|-0.0040|0.0000|99999.0000|20.1390|-0.0271|-0.0271|-0.0271|0.0000|-0.0271
GOLD.BK|0.0000|0.0000|0.0000|6.9533|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000
GPI.BK|0.0300|0.0175|2.6667|34.1463|1.3360|-0.0499|0.0282|0.0282|-0.0331|0.0243
GPSC.BK|0.1073|0.0290|0.5306|30.4500|99.2590|0.0504|0.0678|0.0678|-0.0099|0.0687
GRAMMY.BK|0.2261|0.0394|0.6826|31.3793|71.8170|0.0718|0.0935|0.0935|0.0142|0.0951
