ticker|IRR|G|EPS|EPS_POS|EPS_N|DPR|PRICE
nyse:BFH|0.3932|-0.0152|10.1882|9.0000|9.0000|0.2658|30.2800
nyse:BFK|-0.4158|-1.1064|-0.6889|5.0000|9.0000|0.2858|10.4900
nyse:BFLY|0.0000|0.1644|-8.0542|0.0000|9.0000|0.0000|1.8700
nyse:BFS|-0.0238|-0.0825|0.9031|8.0000|9.0000|0.6222|43.8400
nyse:BFZ|-0.0600|-0.1665|0.2836|7.0000|9.0000|0.2189|11.0900
nyse:BG|0.2402|0.1713|9.1220|8.0000|9.0000|0.2569|96.6600
nyse:BGR|0.0000|0.6606|-0.8013|4.0000|9.0000|0.2745|11.4700
nyse:BGS|0.1335|-0.0055|1.4878|8.0000|9.0000|0.5287|15.5800
nyse:BGSF|0.1905|0.0665|0.9678|7.0000|9.0000|0.4953|9.8500
nyse:BGT|-0.1572|-0.2369|0.0240|7.0000|9.0000|0.3513|11.3300
nyse:BGY|0.2461|0.2469|0.2871|4.0000|9.0000|0.4796|4.7800
nyse:BH|-0.0215|-0.1598|8.0978|5.0000|9.0000|0.0000|121.0900
nyse:BHC|0.0000|1.0338|-2.1111|2.0000|9.0000|0.0000|7.8000
nyse:BHE|-0.0096|-0.0809|0.5973|8.0000|9.0000|0.7717|23.7100
nyse:BHG|0.0000|0.4270|-1.0020|0.0000|9.0000|0.0000|0.2099
nyse:BHIL|0.0000|0.3144|-2.3229|0.0000|9.0000|0.0000|1.1800
nyse:BHK|-0.0891|-0.1929|0.1975|6.0000|9.0000|0.0204|11.2500
nyse:BHLB|0.0000|-0.9627|-1.6060|8.0000|9.0000|0.1814|24.7700
nyse:BHP|0.2440|0.1374|4.9162|8.0000|9.0000|0.8751|62.8100
nyse:BHR|0.0000|0.6063|-1.3145|3.0000|9.0000|-0.1929|4.9600
nyse:BHV|0.0000|-0.2922|-0.1286|6.0000|9.0000|0.3403|13.4700
nyse:BHVN|0.0000|0.5316|-6.1067|0.0000|9.0000|0.0000|13.9000
nyse:BIG|0.7526|0.1121|5.2856|9.0000|9.0000|0.2816|11.2200
nyse:BILL|0.0000|0.4921|-1.7513|0.0000|9.0000|0.0000|79.4600
nyse:BIO|0.1350|0.1361|29.5744|8.0000|9.0000|0.0000|464.8200
nyse:BIP|-0.0872|-0.1075|0.1416|8.0000|9.0000|0.8889|33.9600
nyse:BIPC|-0.3354|-0.7621|0.3664|1.0000|9.0000|0.0559|46.7400
nyse:BJ|0.2151|0.3820|2.6658|7.0000|9.0000|0.0000|76.5200
nyse:BK|0.1439|0.0410|3.9887|9.0000|9.0000|0.3740|45.1500
nyse:BKD|0.0000|-0.1028|-1.0291|1.0000|9.0000|0.0000|2.9300
nyse:BKE|0.1048|0.0030|2.8296|9.0000|9.0000|0.4133|36.4700
nyse:BKH|0.1271|0.0473|4.0924|9.0000|9.0000|0.5947|62.5900
nyse:BKI|0.1825|0.2934|2.3767|8.0000|9.0000|0.0000|57.6000
nyse:BKKT|0.0000|0.5969|-3.1060|0.0000|9.0000|0.0000|1.7000
nyse:BKN|0.0000|-0.9527|-0.7677|5.0000|9.0000|0.2748|14.7200
nyse:BKSY|0.0000|0.3333|-1.4958|0.0000|9.0000|0.0000|1.4200
nyse:BKT|-0.0558|-0.1247|0.0918|6.0000|9.0000|0.0960|4.5200
nyse:BKU|0.2683|0.0625|3.7816|9.0000|9.0000|0.2797|22.3100
nyse:BLCO|0.0231|0.5250|0.0117|2.0000|9.0000|0.0000|16.9800
nyse:BLD|0.2283|0.2947|12.2184|9.0000|9.0000|0.0000|204.3900
nyse:BLDR|0.3981|0.4309|8.1676|8.0000|9.0000|0.0000|90.1600
nyse:BLE|0.0000|-0.3026|-0.1814|7.0000|9.0000|0.5852|10.9500
nyse:BLK|0.1148|0.0762|34.4867|9.0000|9.0000|0.5180|666.4100
nyse:BLND|0.0000|0.5221|-1.5202|0.0000|9.0000|0.0000|0.9799
nyse:BLW|-0.0508|-0.1500|0.3240|7.0000|9.0000|0.3955|13.4000
nyse:BLX|-0.0432|-0.1622|0.5942|8.0000|9.0000|0.3112|17.2200
nyse:BMA|0.1873|-0.0785|4.0013|8.0000|9.0000|0.2703|18.4300
nyse:BME|0.3458|0.1796|5.5978|6.0000|9.0000|0.4460|42.1400
nyse:BMI|0.0458|0.1125|2.1542|9.0000|9.0000|0.4263|123.6000
nyse:BMO|0.0000|-0.3813|-1.2276|4.0000|9.0000|-0.1074|78.9900
nyse:BMY|0.1337|0.1265|2.9302|8.0000|9.0000|0.6807|69.6900
nyse:BNED|0.0000|0.3333|-2.5679|4.0000|9.0000|0.0000|1.4800
nyse:BNJ|0.0000|-0.5111|-0.5302|3.0000|9.0000|-0.1326|13.7600
nyse:BNL|-0.0259|-0.0584|0.3040|8.0000|9.0000|0.5861|18.9600
nyse:BNRE|-0.0082|0.2789|0.0602|2.0000|9.0000|0.0000|32.3900
nyse:BNS|0.0000|-0.3841|-1.0713|4.0000|9.0000|-0.1032|58.0100
nyse:BNY|-0.1459|-0.2397|0.0324|7.0000|9.0000|0.5587|10.8000
nyse:BOAC|0.0000|0.0000|0.0000|1.0000|9.0000|0.0000|9.9800
nyse:BOC|-0.2075|-0.4292|0.1169|2.0000|9.0000|0.0000|23.2100
nyse:BODY|0.0000|0.5200|-0.4244|1.0000|9.0000|0.0000|0.4675
nyse:BOE|0.1148|0.1208|0.6527|6.0000|9.0000|0.3474|14.8500
nyse:BOH|0.1858|0.0401|5.3676|9.0000|9.0000|0.5448|50.9800
nyse:BOOT|0.2312|0.3451|3.6684|9.0000|9.0000|0.0000|76.6700
