ticker|IRR|G|EPS|EPS_POS|EPS_N|DPR|PRICE
bkk:IFS|0.1722|0.0151|0.3169|9.0000|9.0000|0.5142|2.8400
bkk:IHL|0.0054|-0.1306|0.1638|8.0000|9.0000|0.5522|2.9200
bkk:IIG|0.1837|0.3450|0.8991|7.0000|9.0000|0.3442|36.7500
bkk:III|0.2635|0.3107|0.6475|8.0000|9.0000|0.6348|14.1000
bkk:ILINK|0.1311|0.0569|0.5253|9.0000|9.0000|0.3788|7.2000
bkk:ILM|0.2128|0.1481|1.3978|7.0000|9.0000|0.7518|21.1000
bkk:IMH|0.2490|0.2997|0.5802|7.0000|9.0000|0.4130|11.6000
bkk:IND|0.2072|0.1562|0.1175|7.0000|9.0000|0.3767|1.5400
bkk:INET|0.1529|0.1062|0.4116|8.0000|9.0000|0.1296|5.2000
bkk:INGRS|0.0151|-2.5895|-0.0988|6.0000|9.0000|0.2363|0.5000
bkk:INOX|-0.0344|-0.1066|0.0165|7.0000|9.0000|0.6635|0.8300
bkk:INSET|0.2728|0.1935|0.2204|7.0000|9.0000|0.8750|3.0800
bkk:INSURE|0.7168|0.6210|25.1464|5.0000|9.0000|0.0000|160.0000
bkk:INTUCH|-0.0403|-0.1251|1.7773|8.0000|9.0000|0.4245|74.5000
bkk:IP|0.1954|0.3391|0.3372|7.0000|9.0000|0.4008|12.4000
bkk:IRC|0.0078|-0.1283|0.7938|9.0000|9.0000|0.5284|13.7000
bkk:IRCP|0.0000|-0.6925|-0.1227|5.0000|9.0000|0.0065|0.9900
bkk:IRPC|0.0000|-0.6965|-0.1691|5.0000|9.0000|0.0266|2.6400
bkk:IT|-0.0266|-0.0236|0.0602|7.0000|9.0000|0.1605|4.0000
bkk:ITC|0.4156|0.4687|1.3831|5.0000|9.0000|0.5342|23.5000
bkk:ITD|0.0000|0.7487|-0.4061|4.0000|9.0000|0.0443|1.6000
bkk:ITEL|0.1803|0.1989|0.2089|9.0000|9.0000|0.0672|3.3000
bkk:ITNS|0.4206|0.4461|0.2160|4.0000|9.0000|1.0187|4.2400
bkk:IVL|0.3276|0.1666|4.3678|9.0000|9.0000|0.4848|34.5000
bkk:J|-0.0410|-0.0919|0.0675|8.0000|9.0000|0.1769|3.3600
bkk:JAK|0.1452|0.1659|0.0682|6.0000|9.0000|0.2084|1.3600
bkk:JAS|0.0000|-0.3940|-0.2420|6.0000|9.0000|0.1741|2.1200
bkk:JCK|0.0000|-0.1141|-0.0874|1.0000|9.0000|0.0000|0.2900
bkk:JCKH|0.0000|-0.0400|-0.1998|0.0000|9.0000|0.0000|0.0700
bkk:JCT|0.0761|-0.0430|5.3471|9.0000|9.0000|0.6912|80.0000
bkk:JDF|0.2293|0.1744|0.1403|6.0000|9.0000|1.1942|2.6600
bkk:JKN|0.3766|0.1386|0.5924|9.0000|9.0000|0.1788|2.8800
bkk:JMART|0.1445|0.1530|0.9027|8.0000|9.0000|0.6651|22.4000
bkk:JMT|0.1458|0.2059|1.2460|9.0000|9.0000|0.8430|45.2500
bkk:JR|0.2334|0.3594|0.1866|7.0000|9.0000|0.7122|6.6000
